id,jornada,local,visitante,terminado,resultado,cuando,url
22634,19,Elche,Getafe,0,,Dom 10/01 20:00h,https://www.futbolfantasy.com/partidos/22634-elche-getafe
22635,19,Espanyol,Betis,0,,Dom 10/01 20:00h,https://www.futbolfantasy.com/partidos/22635-espanyol-betis
22636,19,Osasuna,Barcelona,0,,Dom 10/01 20:00h,https://www.futbolfantasy.com/partidos/22636-osasuna-barcelona
22637,19,Real Madrid,Levante,0,,Dom 10/01 20:00h,https://www.futbolfantasy.com/partidos/22637-real-madrid-levante
22638,19,Sevilla,Celta,0,,Dom 10/01 20:00h,https://www.futbolfantasy.com/partidos/22638-sevilla-celta
22639,19,Valencia,Málaga,0,,Dom 10/01 20:00h,https://www.futbolfantasy.com/partidos/22639-valencia-malaga
22640,20,Atlético,Real Sociedad,0,,Dom 17/01 20:00h,https://www.futbolfantasy.com/partidos/22640-atletico-real-sociedad
22641,20,Celta,Valencia,0,,Dom 17/01 20:00h,https://www.futbolfantasy.com/partidos/22641-celta-valencia
22642,20,Barcelona,Elche,0,,Dom 17/01 20:00h,https://www.futbolfantasy.com/partidos/22642-barcelona-elche
22643,20,Getafe,Athletic,0,,Dom 17/01 20:00h,https://www.futbolfantasy.com/partidos/22643-getafe-athletic
22644,20,Levante,Espanyol,0,,Dom 17/01 20:00h,https://www.futbolfantasy.com/partidos/22644-levante-espanyol
22645,20,Málaga,Real Madrid,0,,Dom 17/01 20:00h,https://www.futbolfantasy.com/partidos/22645-malaga-real-madrid
22646,20,Rayo,Sevilla,0,,Dom 17/01 20:00h,https://www.futbolfantasy.com/partidos/22646-rayo-sevilla
22647,20,Betis,Deportivo,0,,Dom 17/01 20:00h,https://www.futbolfantasy.com/partidos/22647-betis-deportivo
22648,20,Racing,Osasuna,0,,Dom 17/01 20:00h,https://www.futbolfantasy.com/partidos/22648-racing-osasuna
22649,20,Villarreal,Alavés,0,,Dom 17/01 20:00h,https://www.futbolfantasy.com/partidos/22649-villarreal-alaves
22650,21,Athletic,Levante,0,,Dom 24/01 20:00h,https://www.futbolfantasy.com/partidos/22650-athletic-levante
22651,21,Alavés,Barcelona,0,,Dom 24/01 20:00h,https://www.futbolfantasy.com/partidos/22651-alaves-barcelona
22652,21,Deportivo,Atlético,0,,Dom 24/01 20:00h,https://www.futbolfantasy.com/partidos/22652-deportivo-atletico
22653,21,Elche,Rayo,0,,Dom 24/01 20:00h,https://www.futbolfantasy.com/partidos/22653-elche-rayo
22654,21,Espanyol,Villarreal,0,,Dom 24/01 20:00h,https://www.futbolfantasy.com/partidos/22654-espanyol-villarreal
22655,21,Getafe,Osasuna,0,,Dom 24/01 20:00h,https://www.futbolfantasy.com/partidos/22655-getafe-osasuna
22656,21,Real Madrid,Betis,0,,Dom 24/01 20:00h,https://www.futbolfantasy.com/partidos/22656-real-madrid-betis
22657,21,Racing,Celta,0,,Dom 24/01 20:00h,https://www.futbolfantasy.com/partidos/22657-racing-celta
22658,21,Real Sociedad,Málaga,0,,Dom 24/01 20:00h,https://www.futbolfantasy.com/partidos/22658-real-sociedad-malaga
22659,21,Valencia,Sevilla,0,,Dom 24/01 20:00h,https://www.futbolfantasy.com/partidos/22659-valencia-sevilla
22660,22,Atlético,Espanyol,0,,Dom 31/01 20:00h,https://www.futbolfantasy.com/partidos/22660-atletico-espanyol
22661,22,Celta,Getafe,0,,Dom 31/01 20:00h,https://www.futbolfantasy.com/partidos/22661-celta-getafe
