id,slug,url
22593,barcelona-celta,https://www.futbolfantasy.com/partidos/22593-barcelona-celta
22594,getafe-valencia,https://www.futbolfantasy.com/partidos/22594-getafe-valencia
22595,osasuna-elche,https://www.futbolfantasy.com/partidos/22595-osasuna-elche
22596,rayo-levante,https://www.futbolfantasy.com/partidos/22596-rayo-levante
22597,racing-deportivo,https://www.futbolfantasy.com/partidos/22597-racing-deportivo
22598,sevilla-malaga,https://www.futbolfantasy.com/partidos/22598-sevilla-malaga
22599,villarreal-real-sociedad,https://www.futbolfantasy.com/partidos/22599-villarreal-real-sociedad
22600,atletico-valencia,https://www.futbolfantasy.com/partidos/22600-atletico-valencia
22601,deportivo-athletic,https://www.futbolfantasy.com/partidos/22601-deportivo-athletic
22602,elche-sevilla,https://www.futbolfantasy.com/partidos/22602-elche-sevilla
22603,espanyol-celta,https://www.futbolfantasy.com/partidos/22603-espanyol-celta
22604,levante-alaves,https://www.futbolfantasy.com/partidos/22604-levante-alaves
22605,malaga-barcelona,https://www.futbolfantasy.com/partidos/22605-malaga-barcelona
22606,betis-racing,https://www.futbolfantasy.com/partidos/22606-betis-racing
22607,real-madrid-osasuna,https://www.futbolfantasy.com/partidos/22607-real-madrid-osasuna
22608,real-sociedad-getafe,https://www.futbolfantasy.com/partidos/22608-real-sociedad-getafe
22609,villarreal-rayo,https://www.futbolfantasy.com/partidos/22609-villarreal-rayo
22610,athletic-betis,https://www.futbolfantasy.com/partidos/22610-athletic-betis
22611,celta-atletico,https://www.futbolfantasy.com/partidos/22611-celta-atletico
22612,alaves-elche,https://www.futbolfantasy.com/partidos/22612-alaves-elche
22613,deportivo-real-madrid,https://www.futbolfantasy.com/partidos/22613-deportivo-real-madrid
22614,barcelona-real-sociedad,https://www.futbolfantasy.com/partidos/22614-barcelona-real-sociedad
22615,getafe-levante,https://www.futbolfantasy.com/partidos/22615-getafe-levante
22616,osasuna-villarreal,https://www.futbolfantasy.com/partidos/22616-osasuna-villarreal
22617,rayo-malaga,https://www.futbolfantasy.com/partidos/22617-rayo-malaga
22618,sevilla-racing,https://www.futbolfantasy.com/partidos/22618-sevilla-racing
22619,valencia-espanyol,https://www.futbolfantasy.com/partidos/22619-valencia-espanyol
22620,celta-deportivo,https://www.futbolfantasy.com/partidos/22620-celta-deportivo
22621,espanyol-barcelona,https://www.futbolfantasy.com/partidos/22621-espanyol-barcelona
22622,levante-valencia,https://www.futbolfantasy.com/partidos/22622-levante-valencia
22623,malaga-elche,https://www.futbolfantasy.com/partidos/22623-malaga-elche
22624,rayo-atletico,https://www.futbolfantasy.com/partidos/22624-rayo-atletico
22625,betis-alaves,https://www.futbolfantasy.com/partidos/22625-betis-alaves
22626,real-madrid-getafe,https://www.futbolfantasy.com/partidos/22626-real-madrid-getafe
22627,racing-athletic,https://www.futbolfantasy.com/partidos/22627-racing-athletic
22628,real-sociedad-osasuna,https://www.futbolfantasy.com/partidos/22628-real-sociedad-osasuna
22629,villarreal-sevilla,https://www.futbolfantasy.com/partidos/22629-villarreal-sevilla
22630,athletic-villarreal,https://www.futbolfantasy.com/partidos/22630-athletic-villarreal
22631,atletico-racing,https://www.futbolfantasy.com/partidos/22631-atletico-racing
22632,alaves-real-sociedad,https://www.futbolfantasy.com/partidos/22632-alaves-real-sociedad
22633,deportivo-rayo,https://www.futbolfantasy.com/partidos/22633-deportivo-rayo
22634,elche-getafe,https://www.futbolfantasy.com/partidos/22634-elche-getafe
22635,espanyol-betis,https://www.futbolfantasy.com/partidos/22635-espanyol-betis
22636,osasuna-barcelona,https://www.futbolfantasy.com/partidos/22636-osasuna-barcelona
22637,real-madrid-levante,https://www.futbolfantasy.com/partidos/22637-real-madrid-levante
22638,sevilla-celta,https://www.futbolfantasy.com/partidos/22638-sevilla-celta
22639,valencia-malaga,https://www.futbolfantasy.com/partidos/22639-valencia-malaga
22640,atletico-real-sociedad,https://www.futbolfantasy.com/partidos/22640-atletico-real-sociedad
22641,celta-valencia,https://www.futbolfantasy.com/partidos/22641-celta-valencia
22642,barcelona-elche,https://www.futbolfantasy.com/partidos/22642-barcelona-elche
22643,getafe-athletic,https://www.futbolfantasy.com/partidos/22643-getafe-athletic
22644,levante-espanyol,https://www.futbolfantasy.com/partidos/22644-levante-espanyol
