fecha,jugador,equipo,valor
2026-09-20,Cucho Hernández Cucho,Betis,9333000
2026-09-20,Adam Aznou Aznou,Málaga,271000
2026-09-20,Luken Beitia Beitia,Real Sociedad,160000
2026-09-20,Adrián Rodríguez Adrián,Alavés,168000
2026-09-20,Yan Diomande Y. Diomande,Real Madrid,16409000
2026-09-20,Fran González Fran González,Sevilla,185000
2026-09-20,Ionut Radu Radu,Celta,9577000
2026-09-20,Trent Alexander-Arnold Alexander-Arnold,Real Madrid,6204000
2026-09-20,Bambo Diaby Bambo,Elche,160000
2026-09-20,Pedro Bigas Bigas,Elche,401000
2026-09-20,Marc Aguado Aguado,Elche,2571000
2026-09-20,Matías Dituro Dituro,Elche,4900000
2026-09-20,Aleix Febas Febas,Celta,8701000
2026-09-20,Álvaro Núñez Á. Núñez,Celta,1057000
2026-09-20,Josan Ferrández Josan,Elche,208000
2026-09-20,Yago Santiago Santiago,Elche,160000
2026-09-20,Rodrigo Mendoza Mendoza,Atlético,331000
2026-09-20,Marcos Fernández Marcos,Espanyol,1082000
2026-09-20,Adrián de la Fuente De la Fuente,Levante,9153000
2026-09-20,Roger Brugué Brugui,Levante,1707000
2026-09-20,Iván Romero Iván Romero,Levante,5797000
2026-09-20,Oriol Rey Oriol Rey,Levante,1260000
2026-09-20,Pablo Martínez Pablo Martínez,Málaga,604000
2026-09-20,Hugo Rincón Rincón,Athletic,160000
2026-09-20,Jon Gorrotxategi Gorrotxategi,Real Sociedad,253000
2026-09-20,Ferran Jutglà Jutglà,Celta,6733000
2026-09-20,Jorge Cabello Jorge Cabello,Levante,160000
2026-09-20,Carlos Espí Carlos Espí,Real Madrid,8814000
2026-09-20,Dean Huijsen Huijsen,Real Madrid,10676000
2026-09-20,José Salinas Salinas,Málaga,1087000
2026-09-20,Jonny Castro Jonny,Alavés,5186000
2026-09-20,Víctor García Víctor García,Levante,564000
2026-09-20,Javi Rueda Rueda,Celta,2952000
2026-09-20,Davinchi Davinchi,Getafe,162000
2026-09-20,Luiz Felipe Luiz Felipe,Rayo,187000
2026-09-20,Unai Egiluz Egiluz,Athletic,160000
2026-09-20,Jeremy Toljan Toljan,Levante,1169000
2026-09-20,Gabriel Suazo Suazo,Sevilla,3895000
2026-09-20,Youssef Enríquez Youssef,Alavés,1910000
2026-09-20,Junior Firpo Junior,Betis,322000
2026-09-20,Alejandro Iturbe Iturbe,Elche,193000
2026-09-20,David Hancko Hancko,Atlético,9456000
2026-09-20,Tyrhys Dolan Dolan,Espanyol,4750000
2026-09-20,Roony Bardghji Bardghji,Barcelona,199000
2026-09-20,Valentín Gómez Valentín Gómez,Betis,295000
2026-09-20,Martim Neto Martim Neto,Elche,168000
2026-09-20,Pablo Campos Cuñat Campos,Levante,161000
2026-09-20,Nelson Deossa Deossa,Betis,1796000
2026-09-20,Ángel Fortuño Fortuño,Espanyol,160000
2026-09-20,Filip Ugrinic Ugrinic,Valencia,1617000
2026-09-20,Jozhua Vertrouwd Vertrouwd,Rayo,160000
2026-09-20,Odysseas Vlachodimos Vlachodimos,Sevilla,7434000
2026-09-20,Federico Redondo Redondo,Elche,429000
2026-09-20,Andrés Castrín Castrín,Sevilla,3259000
2026-09-20,Alejandro Rego Rego,Athletic,160000
2026-09-20,Ali Houary Ali Houary,Elche,160000
2026-09-20,Thiago Pitarch Thiago,Real Madrid,210000
2026-09-20,Renato Veiga Veiga,Villarreal,6973000
2026-09-20,Clemens Riedel Riedel,Espanyol,1352000
2026-09-20,Asier Osambela Osambela,Osasuna,189000
2026-09-20,Mathew Ryan Ryan,Levante,10033000
2026-09-20,Tani Oluwaseyi Oluwaseyi,Villarreal,560000
2026-09-20,Miguel Román Román,Celta,4232000
2026-09-20,Grady Diangana Diangana,Elche,207000
2026-09-20,Carlos Soler Carlos Soler,Real Sociedad,7338000
2026-09-20,Georges Mikautadze Mikautadze,Villarreal,13221000
2026-09-20,Dominik Livakovic Livakovic,Barcelona,464000
2026-09-20,Alemão Alemão,Rayo,1123000
2026-09-20,Fábio Cardoso Cardoso,Sevilla,176000
2026-09-20,Aymeric Laporte Laporte,Athletic,10551000
2026-09-20,Samu Becerra Becerra,Rayo,164000
2026-09-20,Adam Boayar Adam Boayar,Elche,160000
2026-09-20,Selton Sánchez Selton,Athletic,209000
2026-09-20,Iñigo Arguibide Arguibide,Osasuna,1647000
2026-09-20,Carlos Macià Carlos Macià,Villarreal,196000
2026-09-20,Aitor Mañas Aitor Mañas,Alavés,160000
2026-09-20,Thiago Fernández Thiago,Levante,1202000
2026-09-20,Abiel Osorio Osorio,Elche,463000
2026-09-20,Paco Cortés Cortés,Levante,200000
2026-09-20,Sebastián Boselli Boselli,Getafe,233000
2026-09-20,Zaid Romero Romero,Getafe,4087000
2026-09-20,Martín Satriano Satriano,Getafe,6480000
2026-09-20,Lucas Cepeda Cepeda,Elche,1963000
2026-09-20,Ángel Pérez Ángel Pérez,Alavés,7279000
2026-09-20,Ville Koski Koski,Alavés,3578000
2026-09-20,Alex Freeman Freeman,Villarreal,1250000
2026-09-20,Ademola Lookman Lookman,Atlético,10924000
2026-09-20,Álvaro Fidalgo Fidalgo,Betis,185000
2026-09-20,Obed Vargas Vargas,Atlético,160000
2026-09-20,Buba Sangaré Sangaré,Elche,2345000
2026-09-20,Tete Morente Tete Morente,Elche,1374000
2026-09-20,Job Ochieng Ochieng,Real Sociedad,821000
2026-09-20,Nacho Pérez Nacho Pérez,Levante,1428000
2026-09-20,Julio Díaz Julio Díaz,Sevilla,322000
2026-09-20,Xavi Espart Espart,Barcelona,3930000
2026-09-20,Javi Morcillo Morcillo,Elche,547000
2026-09-20,Dani Martínez Dani Martínez,Atlético,160000
2026-09-20,Rayane Belaid Rayane,Rayo,160000
2026-09-20,Andrés Antañón Antañón,Celta,160000
2026-09-20,Iker Luque Luque,Racing,189000
2026-09-20,Álex Grimaldo Grimaldo,Atlético,9083000
